model,price
wdc wuh721816ale6l4,278.00
wdc wuh721414ale6l4,179.00
wdc hms5c4040ale640,102.00
wdc huh721212ale600,148.80
wdc wuh721816ale6l0,229.88
wdc hds5c4040ale630,179.99
st6000dx000,85
wdc hds5c3030ala630,68.99
st16000nm001g,165.00
st12000nm001g,126.00
wdc huh721212ale604,199.00
wdc huh728080ale600,101.17
toshiba mg08aca16tey,229.88
st8000dm002,119.67
wdc huh721212aln604,417.95
toshiba mg08aca16ta,414.95
toshiba mg08aca16te,200.00
st14000nm001g,119.99
st8000nm0055,109
st16000nm002j,225.00
wdc hds722020ala330,67.45
st12000nm0008,122.00
wdc wuh722222ale6l4,449.99
wdc hds723030ala640,59.79
st4000dm000,47.99
st8000nm000a,111.79
st10000nm0086,133.00
st12000nm0007,162.00
wdc hds724040ale640,69.00
wdc hus726040ale610,69.00
wdc wd40efrx,79.50
wdc wd60efrx,100.00
st8000dm005,554.94
wdc wd30efrx,64.99
toshiba dt01aca300,45.50